query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM lineitem WHERE l_shipdate <= 19980902,5916559.451236625,5916589,19.461266696453094,0,0.0
1,"select count(*) from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey and p_size = 15 and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'EUROPE'",2508.4787067510097,3162,5.024343729019165,0,0.0
2,"SELECT COUNT(*) FROM customer, orders, lineitem WHERE c_mktsegment = 'BUILDING' AND c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate < 19950315 AND l_shipdate > 19950315",32991.27946605504,30519,17.27965474128723,0,0.0
3,SELECT COUNT(*) FROM orders WHERE o_orderdate >= 19930701 AND o_orderdate < 19931001,57411.06684783901,57218,12.044645845890045,0,0.0
4,"SELECT COUNT(*) FROM customer, orders, lineitem, supplier, nation, region WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND l_suppkey = s_suppkey AND c_nationkey = s_nationkey AND s_nationkey = n_nationkey AND n_regionkey = r_regionkey AND r_name = 'ASIA' AND o_orderdate >= 19940101 AND o_orderdate < 19950101",5758.93035884975,7243,11.268913745880127,0,0.0
5,SELECT COUNT(*) FROM lineitem WHERE l_shipdate >= 19940101 AND l_shipdate < 19950101 AND l_discount >= 0.05 AND l_discount <= 0.07 AND l_quantity < 24.0,114082.92125162655,114160,11.409416794776917,0,0.0
6,"SELECT COUNT(*) FROM supplier, lineitem, orders, customer, nation WHERE s_suppkey = l_suppkey AND o_orderkey = l_orderkey AND c_custkey = o_custkey AND s_nationkey = n_nationkey AND c_nationkey = n_nationkey AND n_name IN ('FRANCE', 'GERMANY') AND l_shipdate >= 19950101 AND l_shipdate <= 19961231",4583.766491684463,5799,13.452798128128052,0,0.0
7,"SELECT COUNT(*) FROM part, supplier, lineitem, orders, customer, nation, region WHERE p_partkey = l_partkey AND s_suppkey = l_suppkey AND l_orderkey = o_orderkey AND o_custkey = c_custkey AND c_nationkey = n_nationkey AND n_regionkey = r_regionkey AND s_nationkey = n_nationkey AND r_name = 'AMERICA' AND o_orderdate >= 19950101 AND o_orderdate <= 19961231 AND p_type = 'ECONOMY ANODIZED STEEL'",83.53265157450689,2603,11.262290179729462,0,0.0
8,"select count(*) from part, supplier, lineitem, partsupp, orders, nation where s_suppkey = l_suppkey and ps_suppkey = l_suppkey and ps_partkey = l_partkey and p_partkey = l_partkey and o_orderkey = l_orderkey and s_nationkey = n_nationkey",75909.56449637582,601213,4.060812294483185,0,0.0
9,"SELECT COUNT(*) FROM customer, orders, lineitem, nation WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= 19931001 AND o_orderdate < 19940101 AND l_returnflag = 'R' AND c_nationkey = n_nationkey",112603.62235961779,114705,12.096382677555084,0,0.0
10,"SELECT COUNT(*) FROM partsupp, supplier, nation WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'GERMANY'",25478.11457189616,31680,5.654662847518921,0,0.0
11,"SELECT COUNT(*) FROM orders, lineitem WHERE o_orderkey = l_orderkey AND l_shipmode IN ('MAIL', 'SHIP') AND l_receiptdate >= 19940101 AND l_receiptdate < 19950101",260077.0846176869,30988,7.014364004135132,0,0.0
12,"SELECT COUNT(*) FROM customer, orders WHERE c_custkey = o_custkey",1491455.0321564353,1500000,2.2357478737831116,0,0.0
13,"SELECT COUNT(*) FROM lineitem, part WHERE l_partkey = p_partkey AND l_shipdate >= 19950901 AND l_shipdate < 19951001",75982.59483937838,75983,6.52659684419632,0,0.0
14,"SELECT COUNT(*) FROM supplier, lineitem WHERE s_suppkey = l_suppkey AND l_shipdate >= 19960101 AND l_shipdate < 19960401",225952.79515598074,225954,8.602000772953033,0,0.0
15,"SELECT COUNT(*) FROM partsupp, part WHERE p_partkey = ps_partkey AND p_size IN (49, 14, 23, 45, 19, 3, 36, 9)",752119.1512150165,127304,2.812109887599945,0,0.0
16,"SELECT COUNT(*) FROM lineitem, part WHERE p_partkey = l_partkey AND p_brand = 'Brand#23' AND p_container = 'MED BOX'",5957.047737742426,6088,3.7894845008850098,0,0.0
17,"SELECT COUNT(*) FROM customer, orders, lineitem WHERE c_custkey = o_custkey AND o_orderkey = l_orderkey",5947025.956396371,6001213,3.5686492919921875,0,0.0
18,"SELECT COUNT(*) FROM lineitem, part WHERE p_partkey = l_partkey AND p_brand = 'Brand#12' AND p_container IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG') AND l_quantity >= 1 AND l_quantity <= 11 AND p_size >= 1 AND p_size <= 5 AND l_shipmode IN ('AIR', 'AIR REG') AND l_shipinstruct = 'DELIVER IN PERSON'",19.419589869694384,25,9.172774851322174,0,0.0
19,"SELECT COUNT(*) FROM supplier, nation WHERE s_nationkey = n_nationkey AND n_name = 'CANADA'",331.34602802224776,412,6.455063819885254,0,0.0
20,"SELECT COUNT(*) FROM supplier, lineitem, orders, nation WHERE s_suppkey = l_suppkey AND o_orderkey = l_orderkey AND o_orderstatus = 'F' AND s_nationkey = n_nationkey AND n_name = 'SAUDI ARABIA'",917611.1052465194,119924,2.1108686923980713,0,0.0
21,SELECT COUNT(*) FROM customer WHERE c_acctbal > 0.00,136306.09128666698,136308,2.1915584802627563,0,0.0
